Original_Sentence,tense_error_tag
She will be traveling to Paris next summer.           ,0
Next month they moved to Canada.,1
Haven't they been addressing climate change effectively on a global scale,0
How has the recent technological advancement changed the way we explore the world,0
How long hadn't the travelers been researching this destination before they decided to visit,0
They will be dancing at the party tomorrow night.                                ,0
"While I cooked dinner, the children played outside.",1
She said she doesn't know the answer.,1
I goes to the store everyday.,1
I never saw such a beautiful place before.,1
The train was delay due to bad weather.,1
I am living here since 2020.,1
I had lived in that city before.                            ,0
"He said that he is coming to the party, but he never showed up.",1
"If they had left earlier, they will have arrived on time.",1
They weren't playing football when it started raining,0
He is going to propose to his girlfriend tomorrow.           ,0
She has eaten breakfast and went to work.,1
She had already left when I reached her house. ,0
They plants a tree in the garden.,1
"By the time you arrive, I leave.",1
How long will it take to eradicate poverty worldwide,0
She didn't dance all night at the party,0
I am currently collaborating with international partners on a global health initiative.  ,0
He won't have graduated from college by then,0
How long had the chefs been experimenting with these new cooking techniques before they introduced them to the menu,0
They were sailing on the lake when it started raining. ,0
She usually is studying at night.,1
She has been creating art for hours. ,0
Last night I eat pizza with my friends.,1
"By 2040, we will have achieved sustainable living for all. ",0
She will have completed her master's degree by the end of the year. ,0
Won't we have created new culinary masterpieces by 2040,0
She will have been working for five years by December. ,0
They worked all day and goes home tired.,1
We are planning a trip to the mountains. ,0
She is dance at the party last night.,1
They were dancing at the wedding when I arrived.,0
I will have prepared dinner by the time you arrive. ,0
I am savoring a delicious meal right now. ,0
I will be vacationing in Hawaii next spring. ,0
The company has just launched a new product.                                       ,0
"If he has more time last week, he would have visited us.",1
They will be hiking in the mountains next weekend. ,0
"As a child, I played soccer every day and love it.",1
The researcher had been collecting data in the field for weeks,0
I am learning to play the piano.                         ,0
I used to live in a small village. ,0
I didn't use to love chocolate,0
I will have completed all the tasks by the end of the week. ,0
Last year we travel to Brazil.,1
We will visit the art gallery this weekend. ,0
The house was quiet because everyone goes to bed.,1
The train leaves at 9 AM.                              ,0
The students were study for their exams.,1
What strategies are we using to protect endangered cultural heritage sites,0
The children has fun at the amusement park.,1
I will be going shopping this weekend. ,0
I hadn't just started cooking when the guests arrived,0
They promised they can fix the car by Friday.,1
Last weekend I swim in the lake.,1
He watched a movie last night. ,0
We are going to have a picnic in the park. ,0
She has been make dinner for the family.,1
The dog was chase the squirrel.,1
I called customer service and speak with a representative.,1
She buy a new dress for the party.,1
I am currently working on a new project. ,0
He don't know the answer.,1
I am currently studying for my exams.                         ,0
We will be skiing in the mountains next weekend. ,0
I am sipping a refreshing glass of lemonade. ,0
They won't be attending a conference next month,0
He said that he is tired yesterday.,1
The children are playing in the yard. ,0
They completed the task and receive positive feedback.,1
The birds was flying south for the winter.,1
The sun sets behind the mountains in the evening. ,0
He woke up early and goes for a run.,1
"I have been practicing the piano for years, and I still enjoy it.                           ",0
She will goes to the party tonight.,1
"While I studied, my brother plays video games.",1
I will have finished reading the novel by tomorrow.         ,0
The birds sings in the morning.,1
They will arrive at the airport in two hours. ,0
"If I am you, I would take that job.",1
I will have achieved my fitness goals by the time I complete my training program.           ,0
How don't you plan to improve your cooking skills,0
"Before she arrived, we eat lunch.",1
I am writing a report for the client. ,0
I am writing an essay for my class. ,0
"In 1914, the assassination of Archduke Franz Ferdinand triggered World War I.",0
I will have saved enough money for a house by next year. ,0
The delivery driver brings the package yesterday.,1
We packed our bags and leave for the airport.,1
Yesterday I went to the store and I buy a new jacket.,1
The tourists visit the museum yesterday.,1
He was reading when his friend was calling him.,1
The teacher walked into the classroom and tells us to sit down.,1
I had finished my assignments before the due date. ,0
I used to work in that company. ,0
She has been creating art for hours. ,0
The weather forecast say it will rain tomorrow.,1
She didn't recognize him because he changes so much.,1
She called me and asks for help.,1
He will be giving a presentation tomorrow. ,0
They will be sailing to the Caribbean next summer. ,0
I am creating a presentation for the meeting. ,0
The sun will set in the evening. ,0
We were eating dinner when the lights go out.,1
She worked here since January.,1
They hadn't already left when I arrived,0
Isn't the recent technological advancement changing the way we explore the world,0
She will completed the task tomorrow.,1
I am savoring a cup of hot chocolate at the moment. ,0
Right now I work on a new project.,1
They were having a barbecue when it started raining. ,0
"Next year, she will be exploring the Amazon rainforest with a research team. ",0
I am eating breakfast. ,0
She is working here since 2015.,1
"If I will see him, I will tell him.",1
She has been renovating her house for weeks. ,0
They will be dancing at the party tomorrow night.          ,0
I am currently reading a novel about history. ,0
